Ratio of Leaf Length:width,Ratio of Petal Length:width,Petiole Length,Class
1.314,1.5,1.1,0
1.625,1.275862069,1.8,1
1.25,1.304347826,1,0
1.287878788,1.476190476,0.5,0
1.2,1.5,1.2,0
2,1.652173913,0.6,2
2.454545455,1.904761905,0.7,2
2.260869565,1.666666667,1.9,2
1.625,1.3,2.1,1
1.558139535,1.260869565,1.6,1
1.369230769,1.555555556,0.6,0
1.346153846,1.473684211,1.3,0
1.733333333,1.333333333,0.6,1
2.066666667,1.80952381,0.8,2
1.253968254,1.476190476,1.2,0
1.28125,1.411764706,1,0
1.857142857,1.666666667,0.7,2
2.142857143,1.933333333,0.8,2
1.558139535,1.32,1.7,1
1.4375,1.368421053,1.3,0
1.684210526,1.277777778,1.5,1
2.066666667,1.608695652,0.5,2
2.076923077,1.818181818,0.6,2
2.111111111,1.857142857,1.5,2
1.941176471,1.722222222,0.7,2
1.530612245,1.266666667,1.8,1
1.447368421,1.333333333,2.1,1
1.285714286,1.444444444,1,0
1.566666667,1.105263158,1.6,1
1.904761905,1.619047619,0.6,2
1.857142857,1.928571429,1.3,2
1.34,1.476190476,1.1,0
1.255319149,1.533333333,1.3,0
2,1.631578947,0.8,2
1.574468085,1.32,2.1,1
1.350877193,1.523809524,1.1,0
1.894736842,1.636363636,0.9,2
1.184615385,1.526315789,1.3,0
1.194029851,1.470588235,1,0
1.575757576,1.296296296,1.8,1
1.4375,1.2,1.2,1
1.288461538,1.476190476,1.2,0
1.7,1.310344828,1.5,1
1.947368421,1.346153846,0.5,2
1.882352941,1.619047619,1.5,2
1.923076923,1.56,0.9,2
1.184615385,1.55,0.7,0
1.288461538,1.444444444,1,0
1.666666667,1.266666667,2.1,1
1.785714286,1.333333333,1.7,1
1.194029851,1.428571429,1.8,0
1.92,1.647058824,0.6,2
1.96,1.6875,1,2
1.882352941,1.666666667,0.7,2
1.369230769,1.578947368,1.1,0
1.309090909,1.444444444,1.4,0
1.627906977,1.25,0.7,1
1.730769231,1.259259259,1.8,1
1.184615385,1.458333333,1.9,0
1.202702703,1.476190476,1.2,0
1.242424242,1.55,1.1,0
1.4375,1.476190476,1,0
2.047619048,1.75,1.1,2
2,1.647058824,0.9,2
1.9375,1.583333333,0.7,2
2.142857143,1.666666667,0.8,2
2.121212121,1.7,0.6,2
2.2,1.692307692,0.7,2
1.350877193,1.4375,1.2,0
1.202702703,1.526315789,1.4,0
1.242424242,1.523809524,1.3,0
1.555555556,1.333333333,1.5,1
1.583333333,1.105263158,1.6,1
1.31372549,1.368421053,1.1,0
1.303030303,1.533333333,1,0
1.566666667,1.105263158,1.1,1
1.763157895,1.346153846,2.1,1
1.894736842,1.571428571,0.8,2
2.133333333,1.62962963,0.7,2
1.857142857,1.684210526,1.2,2
1.657894737,1.25,1.8,1
1.6875,1.318181818,2.1,1
1.323076923,1.5,1.2,0
1.309090909,1.454545455,1.1,0
1.529411765,1.285714286,2.2,1
1.684210526,1.21875,2.1,1
1.882352941,1.615384615,0.6,2
2.545454545,1.590909091,0.9,2
1.641509434,1.294117647,1.8,1
1.756097561,1.272727273,1.5,1
1.14516129,1.526315789,1.9,0
1.875,1.789473684,1.2,2
1.647058824,1.35483871,2.2,1
1.581395349,1.25,1.9,1
1.20754717,1.476190476,1.3,0
1.333333333,1.5,1.4,0
1.904761905,1.6,0.6,2
2.05,1.714285714,0.5,2
2.052631579,1.578947368,0.6,2
1.589285714,1.28,2.2,1
1.513513514,1.296296296,2.1,1
1.527777778,1.28,1.8,1
1.647058824,1.259259259,0.9,1
1.857142857,1.6,1.5,2
1.3,1.363636364,1.1,0
1.274509804,1.409090909,1.2,0
1.293103448,1.5625,1.1,0
1.4,1.347826087,1.9,1
1.595238095,1.263157895,1.6,1
1.952380952,1.777777778,0.7,2
1.904761905,1.647058824,0.5,2
1.92,1.65,0.9,2
1.904761905,1.571428571,0.6,2
1.952380952,1.590909091,0.5,2
1.888888889,1.727272727,1.4,2
1.566666667,1.3,2.2,1
1.508196721,1.28,2,1
1.375,1.176470588,1.6,1
1.253521127,1.473684211,1,0
1.346153846,1.428571429,1.4,0
1.956521739,1.8,0.7,2
1.952380952,1.615384615,0.6,2
1.467741935,1.25,1.9,1
1.625,1.346153846,1,1
1.558139535,1.291666667,1.8,1
1.625,1.227272727,2.1,1
1.294117647,1.444444444,1.1,0
1.875,1.590909091,0.8,2
1.195652174,1.428571429,1.3,0
1.333333333,1.526315789,1.1,0
1.295454545,1.5,1,0
1.875,1.590909091,1.3,2
1.857142857,1.789473684,0.7,2
1.558139535,1.071428571,1.5,1
1.625,1.291666667,1.7,1
1.307692308,1.428571429,1.2,0
1.25,1.476190476,1.4,0
1.229166667,1.421052632,1,0
1.888888889,1.65,0.5,2
1.909090909,1.882352941,0.8,2
1.617021277,1.32,1.8,1
1.458333333,1.214285714,1.7,1
1.492957746,1.222222222,1.6,1
1.595744681,1.307692308,1.8,1
1.319148936,1.4375,1.2,0
1.307692308,1.55,1.3,0
1.253968254,1.368421053,1.4,0
1.956521739,1.722222222,0.9,2
1.882352941,1.636363636,0.6,2
1.638297872,1.25,2.1,1
